Repository Name,Image URL,Stars,Contributors,Forks,Repo Commits,Language,SHA,Downloadable URL,Description,First Repo Commit Date,View Commits,View Contributors,First View Commit Date,Difference Between I View Commit and I Repo Commit
gdsc-ys/mlops,https://github.com/gdsc-ys/mlops/blob/main/imgs/architecture.png,7,1,0,22,Dockerfile,fbac0c7a4637a01f357afe0e800bbe91fdc6d260,https://github.com/gdsc-ys/mlops/blob/main/imgs/architecture.png?raw=true,For the continuous ML Dev,2022-08-07 05:46:43,1.0,1.0,2022-09-06 04:53:44,29.0
krishnaprasadkv/Linux-Commands,https://github.com/krishnaprasadkv/Linux-Commands/blob/master/LinuxArchitecture.jpg,6,2,12,33,,66e4f7d01003ac2a3134da188afb2a33bd8ff3a3,https://github.com/krishnaprasadkv/Linux-Commands/blob/master/LinuxArchitecture.jpg?raw=true,Handy commands for Linux,2020-05-20 08:59:47,2.0,2.0,2021-01-31 09:42:50,256.0
Simon-0711/ta_lyrics_sentiment_classification,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/blob/main/images/architecture_highlevel.png,3,5,0,272,Jupyter Notebook,0c0d17efa3ac296425c236048dce89359ccd2beb,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/blob/main/images/architecture_highlevel.png?raw=true,,2022-10-28 12:15:50,1.0,1.0,2022-12-01 10:40:39,33.0
imamabdulazis/FlutterCleanArchitecture,https://github.com/imamabdulazis/FlutterCleanArchitecture/blob/main/.gitbook/assets/clean-architecture.png,53,1,16,113,Dart,2681b57599f94f55e3412ab7047adc9e5ba49c35,https://github.com/imamabdulazis/FlutterCleanArchitecture/blob/main/.gitbook/assets/clean-architecture.png?raw=true,"This is implementation clean architecture by Uncle Bob. We can implementation this project to make application with many module and component like Dio, RxDart, Bloc and others.",2020-12-06 14:30:24,1.0,1.0,2022-02-15 17:00:28,436.0
2WAY/Design,https://github.com/2WAY/Design/blob/master/img/whitepaper/6_2wayd_architecture.jpg,6,1,1,17,,b327b99d1330b4a60f560e1e1d8e17d04c584e7e,https://github.com/2WAY/Design/blob/master/img/whitepaper/6_2wayd_architecture.jpg?raw=true,2WAY Design,2018-03-06 10:20:55,1.0,1.0,2018-03-06 12:04:03,0.0
joumenharzli/saga-pattern-nodejs-aws,https://i.ibb.co/HhLBQT1/Saga-Architecture-1.png,39,1,10,28,TypeScript,11b6bfa3585058a4af828b201c4d1b2f7c84fd35,https://i.ibb.co/HhLBQT1/Saga-Architecture-1.png,An implementation of Saga pattern for distributed transactions with NodeJS and AWS,2019-09-13 10:47:03,,,,
hexhacking/xCrash,https://github.com/hexhacking/xCrash/blob/master/doc/architecture.png,210,2,22,115,C,656b0bc6992ff51fd365ba5a7a750530981cdd5c,https://github.com/hexhacking/xCrash/blob/master/doc/architecture.png?raw=true,"🔥 xCrash provides the Android app with the ability to capture java crash, native crash and ANR. No root permission or any system permissions are required.",2019-03-18 03:35:29,5.0,2.0,2019-05-05 10:23:13,48.0
microsoft/azure-realtime-fraud-detection,https://github.com/microsoft/azure-realtime-fraud-detection/blob/main/Images/fraud-architecture.png,20,3,2,104,Jupyter Notebook,c842b2380d6beb19a06097c7303d49b61c41b210,https://github.com/microsoft/azure-realtime-fraud-detection/blob/main/Images/fraud-architecture.png?raw=true,,2021-03-29 15:19:46,3.0,1.0,2022-03-10 19:52:38,346.0
lkravi/kube8aws,https://github.com/lkravi/kube8aws/blob/multi-master/architecture.png,38,1,31,20,HCL,7a19b0aa586153f522d43652db875d0d8c0e0de8,https://github.com/lkravi/kube8aws/blob/multi-master/architecture.png?raw=true,Create your own Kubernetes Cluster on AWS EC2 with Terraform and Ansible,2022-04-15 13:58:29,1.0,1.0,2022-04-29 13:23:45,13.0
MyEMS/myems,https://github.com/MyEMS/myems/blob/master/docs/images/architecture-function-view-cn.png,196,6,101,1191,Python,b693e133491446c88b7d86fcd10775655799ea33,https://github.com/MyEMS/myems/blob/master/docs/images/architecture-function-view-cn.png?raw=true,Industry leading Open Source Energy Management System. MyEMS是行业领先的开源能源管理系统 。用开源助力实现碳达峰碳中和。Industrie führend Open-Source-Energiemanagementsystem.,2023-02-15 03:59:11,2.0,1.0,2023-02-23 03:39:40,7.0
